string_field_0,string_field_1,string_field_2,string_field_3,string_field_4,string_field_5,string_field_6,string_field_7,string_field_8,string_field_9,string_field_10,string_field_11,string_field_12,string_field_13,string_field_14
KEY;AÑO;PERIODO;ZONA;REGION;COMUNA_INCOIN;DIRECCION;NUMERO;LONGITUD;LATITUD;TIPO DE PROPIEDAD;PROYECTO;DESARROLLADOR;VENDE;CONSTRUYE;NOMBRE TIPOLOGIA;TIPO DE COCINA;TIPO CATEGORIA;INICIO VENTAS;FECHA ENTREGA ESTIMADA;ESTADO OBRA;ESTADO PROYECTO;STOCK INICIAL;OFERTA DEL PERIODO;OFERTA DISPONIBLE;UNIDADES VENDIDAS;TIPOLOGIA;PLAZAS;PRECIO PROMEDIO;SUPERFICIE PROMEDIO;SUP TERRAZA PROMEDIO;SUPERFICIE TERRENO;UF/M² PROMEDIO;UNIDADES/MES (P);UNIDADES/MES (A);MESES PARA AGOTAR STOCK (A);PRECIO MINIMO UF;PRECIO MAXIMO UF;MESES EN VENTA;NRO. PISOS;CANT ESTACIONAMIENTOS;PRECIO ESTACIONAMIENTO;PRECIO BODEGA;PILOTO DISPONIBLE;SALA DE VENTAS EN EL PROYECTO;DESCUENTO PROMEDIO;TIPO DE SUBSIDIO,,,,,,,,,,,,,,
3P 2024 LAS BRISAS DE MACUL;2024;3P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;junio-2025;TERMINACIONES;EN VENTA;4;0;0;0;1D-1B;2;4.435,0;53,39;20,26;-;83,1;0,0;0,0;148;4314;4556;49,4;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
3P 2025 LAS BRISAS DE MACUL;2025;3P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;octubre-2025;TERMINACIONES;EN VENTA;4;0;0;2;1D-1B;2;4.435,0;53,39;20,26;-;83,1;0,7;0,1;0;4314;4556;61,2;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
4P 2020 LAS BRISAS DE MACUL;2020;4P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;diciembre-2023;POR CONSTRUIR;EN VENTA;4;0;0;1;1D-1B;2;3.372,5;53,39;20,26;-;63,2;0,3;0,3;12;3400;3700;3,8;17;-;370;65;NO;NO;5%;SIN SUBSIDIO,,,,,
4P 2021 LAS BRISAS DE MACUL;2021;4P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;diciembre-2023;OBRA GRUESA;EN VENTA;4;0;0;0;1D-1B;2;3.650,0;53,39;20,26;-;68,4;0,0;0,1;47;3500;3800;15,6;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
4P 2022 LAS BRISAS DE MACUL;2022;4P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;junio-2024;OBRA GRUESA;EN VENTA;4;0;0;0;1D-1B;2;3.925,0;53,39;20,26;-;73,5;0,0;0,0;83;3750;4100;27,8;17;-;370;65;NO;SI;0%;SIN SUBSIDIO,,,,,
4P 2023 LAS BRISAS DE MACUL;2023;4P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;junio-2024;TERMINACIONES;EN VENTA;4;0;0;0;1D-1B;2;4.345,0;53,39;20,26;-;81,4;0,0;0,0;120;4290;4400;39,9;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
4P 2024 LAS BRISAS DE MACUL;2024;4P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;junio-2025;TERMINACIONES;EN VENTA;4;0;0;0;1D-1B;2;4.435,0;53,39;20,26;-;83,1;0,0;0,0;157;4314;4556;52,2;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
1P 2019 ICALMA MACUL;2019;1P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;diciembre-2021;CIERRE DE TERRENO;EN VENTA;1;0;0;0;1D-1B;2;2.800,0;42,99;4,39;-;65,1;0,0;0,0;-;2800;2800;10,6;11;-;380;85;NO;SI;0%;SIN SUBSIDIO,,,,,
1P 2020 ICALMA MACUL;2020;1P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;diciembre-2021;OBRA GRUESA;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;22,7;11;138;400;85;NO;SI;0%;SIN SUBSIDIO,,,,,,,
1P 2021 ICALMA MACUL;2021;1P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;diciembre-2021;TERMINACIONES;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;35,4;11;138;400;85;NO;SI;0%;SIN SUBSIDIO,,,,,,,
1P 2022 ICALMA MACUL;2022;1P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;mayo-2022;TERMINACIONES;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;47,1;11;138;400;95;NO;SI;0%;SIN SUBSIDIO,,,,,,,
1P 2023 ICALMA MACUL;2023;1P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;septiembre-2023;TERMINACIONES;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;59,2;11;138;400;95;NO;NO;0%;SIN SUBSIDIO,,,,,,,
1P 2024 ICALMA MACUL;2024;1P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;enero-2024;ENTREGADO;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;71,4;11;138;400;95;NO;NO;0%;SIN SUBSIDIO,,,,,,,
1P 2025 ICALMA MACUL;2025;1P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;enero-2024;ENTREGADO;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;83,8;11;138;400;95;NO;NO;0%;SIN SUBSIDIO,,,,,,,
2P 2018 ICALMA MACUL;2018;2P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;junio-2018;POR CONSTRUIR;NUEVO;1;1;0;0;1D-1B;2;2.800,0;42,99;4,39;-;65,1;0,0;0,0;-;2800;2800;1,8;11;-;380;85;NO;SI;0%;SIN SUBSIDIO,,,,,
2P 2019 ICALMA MACUL;2019;2P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;junio-2021;CIERRE DE TERRENO;EN VENTA;1;0;0;1;1D-1B;2;2.800,0;42,99;4,39;-;65,1;0,3;0,1;0;2800;2800;13,6;11;-;380;85;NO;SI;0%;SIN SUBSIDIO,,,,,
2P 2020 ICALMA MACUL;2020;2P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;diciembre-2021;OBRA GRUESA;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;26,0;11;138;400;85;NO;SI;0%;SIN SUBSIDIO,,,,,,,
2P 2021 ICALMA MACUL;2021;2P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;mayo-2022;TERMINACIONES;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;38,3;11;138;400;85;NO;SI;0%;SIN SUBSIDIO,,,,,,,
2P 2022 ICALMA MACUL;2022;2P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;julio-2022;TERMINACIONES;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;50,2;11;138;400;95;NO;SI;0%;SIN SUBSIDIO,,,,,,,
2P 2023 ICALMA MACUL;2023;2P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;septiembre-2023;TERMINACIONES;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;62,3;11;138;400;95;NO;NO;0%;SIN SUBSIDIO,,,,,,,
2P 2024 ICALMA MACUL;2024;2P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;enero-2024;ENTREGADO;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;74,7;11;138;400;95;NO;NO;0%;SIN SUBSIDIO,,,,,,,
2P 2025 ICALMA MACUL;2025;2P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;enero-2024;ENTREGADO;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;86,8;11;138;400;95;NO;NO;0%;SIN SUBSIDIO,,,,,,,
3P 2018 ICALMA MACUL;2018;3P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;diciembre-2021;POR CONSTRUIR;EN VENTA;1;0;0;0;1D-1B;2;2.800,0;42,99;4,39;-;65,1;0,0;0,0;-;2800;2800;4,9;11;-;380;85;NO;SI;0%;SIN SUBSIDIO,,,,,
3P 2019 ICALMA MACUL;2019;3P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;junio-2021;INSTALACION DE FAENAS;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,1;0;0;0;16,3;11;138;380;85;NO;SI;0%;SIN SUBSIDIO,,,,,,,
3P 2020 ICALMA MACUL;2020;3P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;diciembre-2021;OBRA GRUESA;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;29,2;11;138;400;85;NO;SI;0%;SIN SUBSIDIO,,,,,,,
3P 2021 ICALMA MACUL;2021;3P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;mayo-2022;TERMINACIONES;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;41,0;11;138;400;85;NO;SI;0%;SIN SUBSIDIO,,,,,,,
3P 2022 ICALMA MACUL;2022;3P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;septiembre-2023;TERMINACIONES;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;53,2;11;138;400;95;NO;SI;0%;SIN SUBSIDIO,,,,,,,
3P 2023 ICALMA MACUL;2023;3P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;noviembre-2023;TERMINACIONES;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;65,4;11;138;400;95;NO;NO;0%;SIN SUBSIDIO,,,,,,,
3P 2024 ICALMA MACUL;2024;3P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;enero-2024;ENTREGADO;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;77,9;11;138;400;95;NO;NO;0%;SIN SUBSIDIO,,,,,,,
3P 2025 ICALMA MACUL;2025;3P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;enero-2024;ENTREGADO;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;89,7;11;138;400;95;NO;NO;0%;SIN SUBSIDIO,,,,,,,
4P 2018 ICALMA MACUL;2018;4P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;diciembre-2021;CIERRE DE TERRENO;EN VENTA;1;0;0;0;1D-1B;2;2.800,0;42,99;4,39;-;65,1;0,0;0,0;-;2800;2800;7,7;11;-;380;85;NO;SI;0%;SIN SUBSIDIO,,,,,
4P 2019 ICALMA MACUL;2019;4P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;junio-2021;OBRA GRUESA;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,1;0;0;0;19,8;11;138;400;85;NO;SI;0%;SIN SUBSIDIO,,,,,,,
4P 2020 ICALMA MACUL;2020;4P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;diciembre-2021;OBRA GRUESA;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;32,5;11;138;400;85;NO;SI;0%;SIN SUBSIDIO,,,,,,,
4P 2021 ICALMA MACUL;2021;4P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;mayo-2022;TERMINACIONES;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;44,1;11;138;400;95;NO;SI;0%;SIN SUBSIDIO,,,,,,,
4P 2022 ICALMA MACUL;2022;4P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;septiembre-2023;TERMINACIONES;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;56,3;11;138;400;95;NO;NO;0%;SIN SUBSIDIO,,,,,,,
4P 2023 ICALMA MACUL;2023;4P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;enero-2024;TERMINACIONES;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;68,4;11;138;400;95;NO;NO;0%;SIN SUBSIDIO,,,,,,,
4P 2024 ICALMA MACUL;2024;4P;CENTRO;RM;MACUL;AVENIDA MACUL;3401;-33,4858;-70,59961;DEPARTAMENTO;ICALMA MACUL;ICALMA;ICALMA;INGEVEC;D1;KITCHENETTE;DUPLEX;30-04-2018;enero-2024;ENTREGADO;EN VENTA;1;0;0;0;1D-1B;2;0,0;-;4,39;-;-;0,0;0,0;0;0;0;80,7;11;138;400;95;NO;NO;0%;SIN SUBSIDIO,,,,,,,
1P 2017 GENERAL MACKENNA 1;2017;1P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;mayo-2019;INSTALACION DE FAENAS;EN VENTA;12;0;0;0;1D-1B;2;2.940,0;44,38;3,6;-;66,2;0,0;0,1;117;2950;3050;10,6;27;-;370;60;NO;SI;3%;SIN SUBSIDIO,,,,,
1P 2018 GENERAL MACKENNA 1;2018;1P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;mayo-2019;OBRA GRUESA;EN VENTA;12;0;0;1;1D-1B;2;2.949,8;44,38;3,6;-;66,5;0,3;0,2;32;3110;3150;22,7;27;-;370;60;SI;SI;3%;SIN SUBSIDIO,,,,,
1P 2019 GENERAL MACKENNA 1;2019;1P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;abril-2019;TERMINACIONES;EN VENTA;12;0;0;1;1D-1B;2;2.832,2;44,38;3,6;-;63,8;0,4;0,3;7;3010;3010;34,5;27;-;370;60;SI;SI;3%;SIN SUBSIDIO,,,,,
1P 2020 GENERAL MACKENNA 1;2020;1P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;abril-2019;ENTREGADO;EN VENTA;12;0;0;0;1D-1B;2;2.920,4;44,38;3,6;-;65,8;0,0;0,2;4;2980;2980;46,8;27;-;370;60;SI;SI;3%;SIN SUBSIDIO,,,,,
2P 2016 GENERAL MACKENNA 1;2016;2P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;mayo-2019;CIERRE DE TERRENO;NUEVO;12;12;0;0;1D-1B;2;3.125,0;44,38;3,6;-;70,4;0,0;0,0;-;2970;3280;1,5;27;-;370;60;-;-;0%;SIN SUBSIDIO,,,,,
2P 2017 GENERAL MACKENNA 1;2017;2P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;mayo-2019;OBRA GRUESA;EN VENTA;12;0;0;1;1D-1B;2;2.940,0;44,38;3,6;-;66,2;0,3;0,1;68;2950;3050;13,6;27;-;370;60;NO;SI;3%;SIN SUBSIDIO,,,,,
2P 2018 GENERAL MACKENNA 1;2018;2P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;mayo-2019;OBRA GRUESA;EN VENTA;12;0;0;1;1D-1B;2;2.949,8;44,38;3,6;-;66,5;0,4;0,2;26;3110;3150;25,5;27;-;370;60;SI;SI;3%;SIN SUBSIDIO,,,,,
2P 2019 GENERAL MACKENNA 1;2019;2P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;abril-2019;ENTREGADO;EN VENTA;12;0;0;0;1D-1B;2;2.832,2;44,38;3,6;-;63,8;0,0;0,3;8;3010;3010;38,1;27;-;370;60;NO;SI;3%;SIN SUBSIDIO,,,,,
2P 2020 GENERAL MACKENNA 1;2020;2P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;abril-2019;ENTREGADO;EN VENTA;12;0;0;1;1D-1B;2;2.920,4;44,38;3,6;-;65,8;0,3;0,2;0;2980;2980;49,8;27;-;370;60;SI;SI;3%;SIN SUBSIDIO,,,,,
3P 2016 GENERAL MACKENNA 1;2016;3P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;mayo-2019;CIERRE DE TERRENO;EN VENTA;12;0;0;0;1D-1B;2;3.125,0;44,38;3,6;-;70,4;0,0;0,0;-;2970;3280;4,7;27;-;370;60;-;-;0%;SIN SUBSIDIO,,,,,
3P 2017 GENERAL MACKENNA 1;2017;3P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;mayo-2019;OBRA GRUESA;EN VENTA;12;0;0;0;1D-1B;2;2.940,0;44,38;3,6;-;66,2;0,0;0,1;85;2950;3050;17,0;27;-;370;60;NO;SI;3%;SIN SUBSIDIO,,,,,
3P 2018 GENERAL MACKENNA 1;2018;3P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;mayo-2019;OBRA GRUESA;EN VENTA;12;0;0;2;1D-1B;2;2.748,9;44,38;3,6;-;61,9;0,6;0,3;14;2860;2990;28,8;27;-;370;60;SI;SI;3%;SIN SUBSIDIO,,,,,
3P 2019 GENERAL MACKENNA 1;2019;3P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;abril-2019;ENTREGADO;EN VENTA;12;0;0;1;1D-1B;2;2.920,4;44,38;3,6;-;65,8;0,4;0,3;4;2980;2980;40,7;27;-;370;60;NO;SI;3%;SIN SUBSIDIO,,,,,
3P 2020 GENERAL MACKENNA 1;2020;3P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;abril-2019;ENTREGADO;EN VENTA;12;0;0;0;1D-1B;2;0,0;-;3,6;-;-;0,0;0,2;0;0;0;52,8;27;-;370;60;SI;SI;3%;SIN SUBSIDIO,,,,,,,
4P 2016 GENERAL MACKENNA 1;2016;4P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;mayo-2019;INSTALACION DE FAENAS;EN VENTA;12;0;0;1;1D-1B;2;2.940,0;44,38;3,6;-;66,2;0,4;0,1;83;2950;3050;7,6;27;-;370;60;-;-;3%;SIN SUBSIDIO,,,,,
4P 2017 GENERAL MACKENNA 1;2017;4P;CENTRO;RM;SANTIAGO;GENERAL MACKENNA;1555;-33,4332;-70,65978;DEPARTAMENTO;GENERAL MACKENNA 1;ALMAGRO;ALMAGRO;ALMAGRO;3;KITCHENETTE;DUPLEX;01-05-2016;mayo-2019;OBRA GRUESA;EN VENTA;12;0;0;2;1D-1B;2;2.944,9;44,38;3,6;-;66,4;0,8;0,2;39;3070;3180;19,5;27;-;370;60;SI;SI;3%;SIN SUBSIDIO,,,,,
