string_field_0,string_field_1,string_field_2,string_field_3,string_field_4,string_field_5,string_field_6,string_field_7,string_field_8,string_field_9,string_field_10,string_field_11,string_field_12,string_field_13,string_field_14
KEY;AÑO;PERIODO;ZONA;REGION;COMUNA_INCOIN;DIRECCION;NUMERO;LONGITUD;LATITUD;TIPO DE PROPIEDAD;PROYECTO;DESARROLLADOR;VENDE;CONSTRUYE;NOMBRE TIPOLOGIA;TIPO DE COCINA;TIPO CATEGORIA;INICIO VENTAS;FECHA ENTREGA ESTIMADA;ESTADO OBRA;ESTADO PROYECTO;STOCK INICIAL;OFERTA DEL PERIODO;OFERTA DISPONIBLE;UNIDADES VENDIDAS;TIPOLOGIA;PLAZAS;PRECIO PROMEDIO;SUPERFICIE PROMEDIO;SUP TERRAZA PROMEDIO;SUPERFICIE TERRENO;UF/M² PROMEDIO;UNIDADES/MES (P);UNIDADES/MES (A);MESES PARA AGOTAR STOCK (A);PRECIO MINIMO UF;PRECIO MAXIMO UF;MESES EN VENTA;NRO. PISOS;CANT ESTACIONAMIENTOS;PRECIO ESTACIONAMIENTO;PRECIO BODEGA;PILOTO DISPONIBLE;SALA DE VENTAS EN EL PROYECTO;DESCUENTO PROMEDIO;TIPO DE SUBSIDIO,,,,,,,,,,,,,,
2P 2016 UPTOWN;2016;2P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;diciembre-2017;OBRA GRUESA;EN VENTA;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;0,6;0;0;0;14,5;10;-;0;0;-;-;0%;SIN SUBSIDIO,,,,,,,
2P 2017 UPTOWN;2017;2P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;diciembre-2017;TERMINACIONES;EN VENTA;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;0,3;0;0;0;26,6;10;-;0;0;SI;SI;0%;SIN SUBSIDIO,,,,,,,
2P 2018 UPTOWN;2018;2P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;abril-2018;ENTREGADO;EN VENTA;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;0,2;0;0;0;38,8;10;-;0;0;SI;SI;0%;SIN SUBSIDIO,,,,,,,
3P 2015 UPTOWN;2015;3P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;diciembre-2017;INSTALACION DE FAENAS;EN VENTA;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;1,5;0;0;0;6,1;10;-;380;60;-;-;0%;SIN SUBSIDIO,,,,,,,
3P 2016 UPTOWN;2016;3P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;diciembre-2017;OBRA GRUESA;EN VENTA;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;0,5;0;0;0;17,7;10;-;0;0;-;-;0%;SIN SUBSIDIO,,,,,,,
3P 2017 UPTOWN;2017;3P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;diciembre-2017;ENTREGADO;EN VENTA;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;0,3;0;0;0;30,1;10;-;0;0;SI;SI;0%;SIN SUBSIDIO,,,,,,,
3P 2018 UPTOWN;2018;3P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;abril-2018;ENTREGADO;EN VENTA;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;0,2;0;0;0;42,3;10;-;0;0;SI;SI;0%;SIN SUBSIDIO,,,,,,,
4P 2015 UPTOWN;2015;4P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;diciembre-2017;OBRA GRUESA;EN VENTA;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;1,1;0;0;0;8,2;10;-;0;0;-;-;0%;SIN SUBSIDIO,,,,,,,
4P 2016 UPTOWN;2016;4P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;diciembre-2017;OBRA GRUESA;EN VENTA;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;0,4;0;0;0;20,8;10;-;0;0;-;-;0%;SIN SUBSIDIO,,,,,,,
4P 2017 UPTOWN;2017;4P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;diciembre-2017;ENTREGADO;EN VENTA;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;0,3;0;0;0;33,1;10;-;0;0;SI;SI;0%;SIN SUBSIDIO,,,,,,,
